,q_date,q_year,prop_year,state,entity,utility,county_1,poi_name,region_CAISO,region_ERCOT,region_ISO-NE,region_MISO,region_NYISO,region_PJM,region_SPP,region_Southeast (non-ISO),region_West (non-ISO),total_mw,type1_Battery,type1_Biofuel,type1_Biogas,type1_Biomass,type1_Coal,type1_Diesel,type1_Flywheel,type1_Gas,type1_Geothermal,type1_Gravity Rail,type1_Hybrid,type1_Hydro,type1_Landfill,type1_Methane,type1_Nuclear,type1_Offshore Wind,type1_Oil,type1_Pumped Storage,type1_Solar,type1_Steam,type1_Waste Heat,type1_Wind,type1_Wood,ia_status_Facility Study,ia_status_Feasibility Study,ia_status_IA Executed,ia_status_Operational,ia_status_System Impact Study,ia_status_Withdrawn
587,12/20/2007,2007.0,2010.0,WA,Avista,Avista,douglas,Chelan-Stratford 115 kV,0,0,0,0,0,0,0,0,1,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
588,6/17/2019,2019.0,2021.0,WA,Avista,Avista,adams,"13.2 kV south of
Othello, WA",0,0,0,0,0,0,0,0,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
589,6/17/2019,2019.0,2021.0,WA,Avista,Avista,adams,"13.2 kV south of
Othello, WA",0,0,0,0,0,0,0,0,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
590,10/9/2018,2018.0,2021.0,WA,Avista,Avista,adams,"Ritzville 115 kV
station",0,0,0,0,0,0,0,0,1,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
592,10/12/2007,2007.0,2010.0,ID,Avista,Avista,idaho,Grangeville-Nez Perce 115 kV line near Grangeville,0,0,0,0,0,0,0,0,1,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
593,11/5/2014,2014.0,2015.0,WA,Avista,Avista,whitman,Avista distribution system on the Avista Turner Substation feeder 117 at or near the Schweitzer Engineering Laboratory’s (SEL) parking lot #27 complex in Whitman County Washington,0,0,0,0,0,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
594,5/15/2017,2017.0,2018.0,ID,Avista,Avista,nez perce,Lolo Substation 13 kV,0,0,0,0,0,0,0,0,1,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
595,6/17/2019,2019.0,2021.0,WA,Avista,Avista,adams,"13.2 kV south of
Othello, WA",0,0,0,0,0,0,0,0,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
597,1/9/2008,2008.0,2011.0,WA,Avista,Avista,garfield,Dry Creek-Talbot 230 kV,0,0,0,0,0,0,0,0,1,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
598,7/27/2009,2009.0,2011.0,ID,Avista,Avista,shoshone,Pine Creek 115 kV Substation,0,0,0,0,0,0,0,0,1,13.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
599,3/27/2012,2012.0,2014.0,WA,Avista,Avista,whitman,Thornton 230 kV Substation,0,0,0,0,0,0,0,0,1,200.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
600,12/4/2018,2018.0,2020.0,WA,Avista,Avista,whitman,"Rosalia 115 kV
station",0,0,0,0,0,0,0,0,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
601,12/15/2014,2014.0,2016.0,WA,Avista,Avista,adams,"A 115 kV
interconnection Near Lind 115 kV Substation",0,0,0,0,0,0,0,0,1,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
602,10/22/2009,2009.0,2012.0,WA,Avista,Avista,spokane,Nine Mile Substation,0,0,0,0,0,0,0,0,1,10.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
605,6/17/2019,2019.0,2021.0,WA,Avista,Avista,adams,"13.2 kV south of
Othello, WA",0,0,0,0,0,0,0,0,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
606,6/15/2007,2007.0,2008.0,WA,Avista,Avista,kittitas,Walla Walla- Wanapum 230 kV,0,0,0,0,0,0,0,0,1,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
607,12/28/2010,2010.0,2013.0,WA,Avista,Avista,whitman,Lind-Shawnee 115 kV line,0,0,0,0,0,0,0,0,1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
608,8/26/2011,2011.0,2012.0,WA,Avista,Avista,adams,"Spirit Feeder 12F1 13 kV
distribution line",0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
609,6/23/2009,2009.0,2012.0,ID,Avista,Avista,potlatch,Potlatch 115 kV Substation,0,0,0,0,0,0,0,0,1,65.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
610,3/6/2009,2009.0,2011.0,WA,Avista,Avista,whitman,Benewah- Shawnee 230 kV line near Oaksdale,0,0,0,0,0,0,0,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
611,12/11/2003,2003.0,2005.0,WA,Avista,Avista,lincoln,Devils Gap-Lind 115 kV,0,0,0,0,0,0,0,0,1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
612,7/11/2007,2007.0,2009.0,WA,Avista,Avista,whitman,Shawnee-Sunset 115 kV line near Rosalia,0,0,0,0,0,0,0,0,1,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
614,11/20/2018,2018.0,2020.0,MT,Avista,Avista,sanders,Hot Springs - Noxon 230 kV line,0,0,0,0,0,0,0,0,1,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
615,4/17/2009,2009.0,2011.0,WA,Avista,Avista,lincoln,Devils Gap-Lind 115 kV,0,0,0,0,0,0,0,0,1,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
616,6/25/2018,2018.0,2021.0,WA,Avista,Avista,adams,"Ritzville 115 kV
Substation",0,0,0,0,0,0,0,0,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
618,8/29/2019,2019.0,2023.0,WA,Avista,Avista,grant,Stratford 115 kV Station,0,0,0,0,0,0,0,0,1,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
619,8/4/2009,2009.0,2011.0,WA,Avista,Avista,lincoln,Devils Gap-Lind 115 kV,0,0,0,0,0,0,0,0,1,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
621,12/24/2007,2007.0,2010.0,ID,Avista,Avista,idaho,Grangeville-Nez Perce 115 kV line near Grangeville,0,0,0,0,0,0,0,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
622,5/4/2018,2018.0,2019.0,WA,Avista,Avista,adams,Othello SS,0,0,0,0,0,0,0,0,1,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
625,7/29/2010,2010.0,2012.0,ID,Avista,Avista,bonners,"Oldtown 115 kV
Substation at 13 kV or 24 kV",0,0,0,0,0,0,0,0,1,6.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
627,11/27/2007,2007.0,2010.0,WA,Avista,Avista,adams,Benton-Othello 115 kV,0,0,0,0,0,0,0,0,1,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
628,4/10/2014,2014.0,2014.0,WA,Avista,Avista,lincoln,Avista’s distribution system near the intersection of Bourne and Doerschlag Road in Lincoln County Washington,0,0,0,0,0,0,0,0,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
